
> landing@0.1.0 dev C:\Users\anıl\Desktop\AIDR PROJECT\aidr-landing
> next dev -p 4567

▲ Next.js 16.2.1 (Turbopack)
- Local:         http://localhost:4567
- Network:       http://172.31.0.1:4567
- Environments: .env.local
✓ Ready in 5.3s
- Experiments (use with caution):
  · clientTraceMetadata
  · optimizePackageImports

 GET /agents 200 in 25ms (next.js: 3ms, proxy.ts: 4ms, application-code: 18ms)
 GET /agents 200 in 12ms (next.js: 4ms, proxy.ts: 3ms, application-code: 6ms)
 GET /agents 200 in 23ms (next.js: 3ms, proxy.ts: 3ms, application-code: 17ms)
 GET /agents 200 in 12ms (next.js: 3ms, proxy.ts: 4ms, application-code: 5ms)
 GET /agents 200 in 22ms (next.js: 3ms, proxy.ts: 4ms, application-code: 15ms)
 GET /incidents 200 in 26ms (next.js: 3ms, proxy.ts: 4ms, application-code: 19ms)
 GET /events 200 in 25ms (next.js: 3ms, proxy.ts: 3ms, application-code: 19ms)
 GET /policy-rollout 200 in 24ms (next.js: 3ms, proxy.ts: 3ms, application-code: 17ms)
 GET /dashboard 200 in 27ms (next.js: 3ms, proxy.ts: 5ms, application-code: 20ms)
 GET /agents 200 in 27ms (next.js: 3ms, proxy.ts: 4ms, application-code: 21ms)
 GET /incidents 200 in 27ms (next.js: 3ms, proxy.ts: 3ms, application-code: 21ms)
 GET /events 200 in 26ms (next.js: 3ms, proxy.ts: 4ms, application-code: 18ms)
 GET /policy-rollout 200 in 24ms (next.js: 3ms, proxy.ts: 3ms, application-code: 18ms)
 GET /settings 200 in 1041ms (next.js: 1011ms, proxy.ts: 3ms, application-code: 27ms)
 GET /settings 200 in 24ms (next.js: 3ms, proxy.ts: 4ms, application-code: 18ms)
 GET /onboarding 200 in 31ms (next.js: 3ms, proxy.ts: 4ms, application-code: 24ms)
 GET /dashboard 200 in 29ms (next.js: 4ms, proxy.ts: 4ms, application-code: 21ms)
